id,createdAt,updatedAt,uuid,nickname,farmId,username,password,name,age
0,2024-02-01,2024-02-01,58c419fd-164e-4558-97f7-7ac776c9af22,ifQ5y,0,7OXLB,Pulr6vXm,TYdGk,47
1,2024-02-01,2024-02-01,d4c3b8f2-27d5-4a6a-8bf4-5e934cb80b9e,iriQG,1,BzUhK,HNLmwCtM,tdhZt,38
2,2024-02-01,2024-02-01,dc837950-aeda-412c-b5a3-e31cf6346183,goRnX,2,LnErq,ml6RmfUE,qZLeZ,30
3,2024-02-01,2024-02-01,2345bfa1-edd8-424b-9b31-ed1ab5d9b12d,7lGv2,3,En4pm,K69N2ffT,kyawc,29
4,2024-02-01,2024-02-01,8255fa34-b1bf-4155-931a-dc57a40ab6c5,twyMa,4,oX2lw,KJNMC7Uz,pgxLo,49
5,2024-02-01,2024-02-01,bc806201-c7ba-4ef5-ab7d-31bfc42eeae8,OKsJd,5,Yflfx,I9pRRPxU,DTRUY,50
6,2024-02-01,2024-02-01,e238e39e-3ec8-4684-9bb6-c4c5f484d390,doavv,6,0so6P,BnWDpxoy,Fdnhn,20
7,2024-02-01,2024-02-01,b4a9fc36-3170-45b3-a158-dfe6d8a389bd,1N5dQ,7,9Vem2,BQoAbVJU,YEXJh,27
8,2024-02-01,2024-02-01,a83e64b6-8ce4-4ca5-93d0-073fb1c8822f,QBryh,8,4qI1w,FJJMtWYh,DifKT,34
9,2024-02-01,2024-02-01,b7990626-3e6e-4c56-b4a4-d3116c90dcd0,YSDSr,9,Gfw4Y,sKtlNkF1,FVOSD,52
10,2024-02-01,2024-02-01,60a7c60e-514d-479b-b7d1-0f2e16209238,kB2Ps,10,ksFpR,PvkTGEfg,XEeLc,28
11,2024-02-01,2024-02-01,4371645d-117e-4586-850d-062473b9ce6c,dbxGG,11,jbixb,lepSr4F0,yNjiT,20
12,2024-02-01,2024-02-01,7295f223-39f6-4d7f-a23b-bb50812a6bab,ZF2cP,12,4nqDA,aqlF3jjX,nCkvy,24
13,2024-02-01,2024-02-01,c60fa7bd-11bc-48f1-b339-152257295fb4,GiaWQ,13,ThPKn,i0PWcUek,vJQtc,49
